Unix,date,Symbol,Open,High,Low,Close,Volume_BTC,Volume_USDT,tradecount
1.51744E+12,2/1/2018,BTCUSDT,10285.1,10335,8750.99,9224.52,33564.76431,317636346,316020
1.51753E+12,2/2/2018,BTCUSDT,9224.52,9250,8010.02,8873.03,49971.62698,434236483.7,453411
1.51762E+12,2/3/2018,BTCUSDT,8873.03,9473.01,8229,9199.96,28725.00074,256834729.1,327519
1.5177E+12,2/4/2018,BTCUSDT,9199.96,9368,7930,8184.81,32014.30845,274912288.4,356134
1.51779E+12,2/5/2018,BTCUSDT,8179.99,8382.8,6625,6939.99,63403.18258,471166218.7,533510
1.51788E+12,2/6/2018,BTCUSDT,6939.63,7878,6000.01,7652.14,100201.5003,684364276.4,785996
1.51796E+12,2/7/2018,BTCUSDT,7655.02,8476,7150.01,7599,60778.4605,477935038.8,514893
1.51805E+12,2/8/2018,BTCUSDT,7599,7844,7572.09,7784.02,1521.537318,11770168.04,12417
1.51813E+12,2/9/2018,BTCUSDT,7789.9,8738,7789.9,8683.92,20482.91083,173348469.8,273091
1.51822E+12,2/10/2018,BTCUSDT,8683.93,9065.78,8120,8533.98,49381.51265,423411421.9,537578
1.51831E+12,2/11/2018,BTCUSDT,8533.99,8549,7726.53,8063.88,45025.18795,366966437.2,524626
1.51839E+12,2/12/2018,BTCUSDT,8063.82,8989,8053,8903,41987.85049,362440827,477660
1.51848E+12,2/13/2018,BTCUSDT,8903,8950,8351,8539.9,35454.97296,305165143.7,401893
1.51857E+12,2/14/2018,BTCUSDT,8535.17,9489.6,8533,9449.99,40811.95287,370126692.7,514897
1.51865E+12,2/15/2018,BTCUSDT,9449.98,10219.5,9301.5,10000.09,52427.59672,512388484.7,608349
1.51874E+12,2/16/2018,BTCUSDT,10000.89,10323.37,9666,10159.98,38161.20597,381103299.2,405310
1.51883E+12,2/17/2018,BTCUSDT,10156.07,11075.07,10050,11039.55,41882.10841,446012696.2,413585
1.51891E+12,2/18/2018,BTCUSDT,11039.55,11274,10080,10383.43,61137.38073,649423311.3,537534
1.519E+12,2/19/2018,BTCUSDT,10375.01,11250,10270.33,11153,40831.41713,443766562.7,366882
1.51908E+12,2/20/2018,BTCUSDT,11147.11,11786.01,11100.59,11200.99,48153.35429,551573232.2,432197
1.51917E+12,2/21/2018,BTCUSDT,11195.07,11304.03,10200,10437.6,68113.81875,731537130.5,542340
1.51926E+12,2/22/2018,BTCUSDT,10439.02,10933.44,9679,9811.04,67060.16648,682006373.9,506273
1.51934E+12,2/23/2018,BTCUSDT,9815.55,10435,9570.19,10131.04,57202.70237,571800753.5,467480
1.51943E+12,2/24/2018,BTCUSDT,10131.04,10496.97,9352,9694.51,40888.1563,405618586.6,337918
1.51952E+12,2/25/2018,BTCUSDT,9694.51,9847,9274.8,9590,28373.51759,271286599.1,233567
1.5196E+12,2/26/2018,BTCUSDT,9590,10444.32,9350,10324,34878.29276,347559259.7,285276
1.51969E+12,2/27/2018,BTCUSDT,10321,10870,10121,10569.04,30705.38512,324295371.1,240542
1.51978E+12,2/28/2018,BTCUSDT,10584.33,11098,10300,10326.76,30800.98378,327914696.1,277886
1.51986E+12,3/1/2018,BTCUSDT,10325.64,11060.41,10240,10920,25092.55393,268172535.4,230428
1.51995E+12,3/2/2018,BTCUSDT,10923.36,11200,10770,11039,23910.71009,262936307,211691
1.52004E+12,3/3/2018,BTCUSDT,11038.99,11544,11015.01,11464.48,21287.15328,241749497.9,190444
1.52012E+12,3/4/2018,BTCUSDT,11464.47,11565,11050.02,11515,17295.91865,194849579.1,168359
1.52021E+12,3/5/2018,BTCUSDT,11515,11710,11415.01,11454,15144.23106,174866951.4,164318
1.52029E+12,3/6/2018,BTCUSDT,11455,11455,10555.48,10716.48,29515.57236,323842216.6,250306
1.52038E+12,3/7/2018,BTCUSDT,10716.48,10899,9389.31,9910,50647.67108,514808033.5,396721
1.52047E+12,3/8/2018,BTCUSDT,9910,10099,9060,9271.64,41109.47323,394641280.6,336514
1.52055E+12,3/9/2018,BTCUSDT,9267.07,9410,8329,9227,64112.29141,567082901.1,462712
1.52064E+12,3/10/2018,BTCUSDT,9230,9490,8667.07,8770.22,37180.01286,341210248.4,288066
1.52073E+12,3/11/2018,BTCUSDT,8770.22,9740,8450,9533.57,44325.97339,403491260.9,333367
1.52081E+12,3/12/2018,BTCUSDT,9533.57,9888.88,8780,9131.34,42230.77793,395562731.9,336642
1.5209E+12,3/13/2018,BTCUSDT,9131.34,9474,8823,9150,40191.40936,367353984.7,342734
1.52099E+12,3/14/2018,BTCUSDT,9151.92,9333.78,7900.28,8170,49708.09411,426058009.8,399127
1.52107E+12,3/15/2018,BTCUSDT,8184.01,8430,7650,8240.98,52291.02228,422130717.5,400529
1.52116E+12,3/16/2018,BTCUSDT,8240.98,8611.64,7900,8260,38815.40989,322355002.2,255807
1.52124E+12,3/17/2018,BTCUSDT,8260,8348.62,7721.99,7824.8,33110.20633,265973111.6,292041
1.52133E+12,3/18/2018,BTCUSDT,7824.01,8317.4,7322,8189.99,59488.23171,458311733.5,423336
1.52142E+12,3/19/2018,BTCUSDT,8189,8705.23,8088.4,8600,55297.08494,462654339,360414
1.5215E+12,3/20/2018,BTCUSDT,8595.01,9050,8280,8909.98,44865.10584,387879393.5,298261
1.52159E+12,3/21/2018,BTCUSDT,8909.96,9177.01,8750.6,8885,39972.40537,358157473.4,293696
1.52168E+12,3/22/2018,BTCUSDT,8884.82,9100,8465.1,8722.9,40617.55681,354804129.3,276449
1.52176E+12,3/23/2018,BTCUSDT,8720,8909,8269,8898.03,39991.00767,340755592.5,278571
1.52185E+12,3/24/2018,BTCUSDT,8898.04,8999.95,8491,8546.86,35466.60957,313254829.9,270300
1.52194E+12,3/25/2018,BTCUSDT,8531.25,8669.85,8365.77,8470.15,29001.76932,247023172.3,215660
1.52202E+12,3/26/2018,BTCUSDT,8470.14,8514.89,7831,8134.23,44033.59566,358429758.9,310462
1.52211E+12,3/27/2018,BTCUSDT,8134.22,8215.94,7730,7795.51,37427.64805,297609656.4,266540
1.5222E+12,3/28/2018,BTCUSDT,7795.51,8109,7728,7949.3,26401.33167,209186093.2,183620
1.52228E+12,3/29/2018,BTCUSDT,7949.3,7975,6941.11,7090.14,54620.91513,405591158.6,359537
1.52237E+12,3/30/2018,BTCUSDT,7090.16,7292.43,6600.1,6840.23,65306.03198,450352009.2,400057
1.52245E+12,3/31/2018,BTCUSDT,6840.24,7223.36,6777,6923.91,36868.53909,258341534.5,240293
1.52254E+12,4/1/2018,BTCUSDT,6922,7049.98,6430,6813.01,44071.43046,297470498.8,260942
1.52263E+12,4/2/2018,BTCUSDT,6813.01,7125,6765,7056,32123.56007,224322159.4,206780
1.52271E+12,4/3/2018,BTCUSDT,7063.97,7520,7011.01,7405.21,37787.33181,277080072.8,248143
1.5228E+12,4/4/2018,BTCUSDT,7405.21,7427.52,6707,6796.1,42227.1838,297443582.7,277249
1.52289E+12,4/5/2018,BTCUSDT,6796.1,6902,6566.69,6770.76,39029.73146,263446941.1,238476
1.52297E+12,4/6/2018,BTCUSDT,6770,6850,6500,6601.39,27455.01192,182139799.8,162456
1.52306E+12,4/7/2018,BTCUSDT,6601.39,7070,6586.28,6895.8,32269.57827,222323863.5,178577
1.52315E+12,4/8/2018,BTCUSDT,6895.81,7109.13,6880,7018,21427.67317,149967346.7,152461
1.52323E+12,4/9/2018,BTCUSDT,7011.04,7185,6611,6782.72,34078.29721,234309953.8,212669
1.52332E+12,4/10/2018,BTCUSDT,6781.55,6890,6656,6843.9,22326.7281,151417844.3,147755
1.5234E+12,4/11/2018,BTCUSDT,6839.56,6990,6787,6953.79,23997.87118,165264003.4,155607
1.52349E+12,4/12/2018,BTCUSDT,6953.78,8012.23,6743.2,7923,64861.59599,485176252.5,404588
1.52358E+12,4/13/2018,BTCUSDT,7922.99,8233.39,7732,7877.41,55044.52315,439884522.7,351905
1.52366E+12,4/14/2018,BTCUSDT,7877.48,8186,7810,7999.01,31621.28636,252868761.3,194500
1.52375E+12,4/15/2018,BTCUSDT,8004,8429.54,7999.02,8355,27946.72044,230287099.6,181778
1.52384E+12,4/16/2018,BTCUSDT,8355.07,8419,7867,8064.92,36664.06972,295817536.5,226748
1.52392E+12,4/17/2018,BTCUSDT,8064.92,8173.7,7825.4,7885.02,32152.60357,258221765.6,221228
1.52401E+12,4/18/2018,BTCUSDT,7890.96,8236.43,7868,8173,26969.04457,217649160.1,183472
1.5241E+12,4/19/2018,BTCUSDT,8173.99,8296,8080,8278,27113.84746,222675105.8,196821
1.52418E+12,4/20/2018,BTCUSDT,8273.84,8930,8177.09,8856.98,39795.33749,337288580.4,289687
1.52427E+12,4/21/2018,BTCUSDT,8852.12,9035,8565,8915.31,40872.22991,358915978.1,295374
1.52436E+12,4/22/2018,BTCUSDT,8915.31,9020.67,8727.68,8787.02,29458.25348,261804372.9,229871
1.52444E+12,4/23/2018,BTCUSDT,8785.7,8985,8745,8934.01,25838.11471,229754640.6,190944
1.52453E+12,4/24/2018,BTCUSDT,8934,9731.01,8922,9619.99,46268.79011,431210048.1,326608
1.52461E+12,4/25/2018,BTCUSDT,9618.96,9759.82,8730,8869.99,81110.03759,745137763,477363
1.5247E+12,4/26/2018,BTCUSDT,8869.99,9307.48,8651.62,9266,43300.30425,385046648.1,285850
1.52479E+12,4/27/2018,BTCUSDT,9267.03,9395,8889,8915.35,37241.34704,342805674.6,268471
1.52487E+12,4/28/2018,BTCUSDT,8915.35,9427.48,8870,9348,34759.62842,321653866.2,257288
1.52496E+12,4/29/2018,BTCUSDT,9348,9570.51,9163.74,9419,38149.85004,357004896,311494
1.52505E+12,4/30/2018,BTCUSDT,9417.04,9458.64,9124.99,9246.01,35002.03388,325019389.2,285951
1.52513E+12,5/1/2018,BTCUSDT,9246.01,9248.99,8800.49,9071.48,41018.46363,368688349.6,268741
1.52522E+12,5/2/2018,BTCUSDT,9071.48,9268,8970.2,9247.84,26123.54396,238421833.8,188258
1.52531E+12,5/3/2018,BTCUSDT,9247.81,9844,9168.4,9750,38768.38829,366028365.2,282581
1.52539E+12,5/4/2018,BTCUSDT,9750,9830.04,9520.85,9713.99,28681.58888,277565997.6,210165
1.52548E+12,5/5/2018,BTCUSDT,9714,10020,9682,9864,24990.01835,246807563.5,212076
1.52556E+12,5/6/2018,BTCUSDT,9863.99,9970,9417.03,9659.01,27690.35156,267359420.3,229309
1.52565E+12,5/7/2018,BTCUSDT,9661.02,9689.67,9181,9365,33787.64001,316015961.4,230754
1.52574E+12,5/8/2018,BTCUSDT,9365,9475.7,9060.54,9187.56,25533.83189,236418155.7,189159
1.52582E+12,5/9/2018,BTCUSDT,9178,9390,8965,9310,25673.5249,235736782.3,192337
1.52591E+12,5/10/2018,BTCUSDT,9310,9395.12,8970,9002.2,25055.06372,231595002.6,221075
1.526E+12,5/11/2018,BTCUSDT,9002.21,9016.8,8341,8400,48227.04806,418859806.5,365538
1.52608E+12,5/12/2018,BTCUSDT,8405.94,8646.88,8153,8465.94,40241.32081,337899865.9,310305
1.52617E+12,5/13/2018,BTCUSDT,8475.44,8763.36,8298,8679.71,25632.86936,219455683.1,215590
1.52626E+12,5/14/2018,BTCUSDT,8679.71,8879.99,8277,8663.34,37389.66653,320583612.2,292731
1.52634E+12,5/15/2018,BTCUSDT,8663.37,8859.99,8401.3,8462,28126.95614,242341031.1,360379
1.52643E+12,5/16/2018,BTCUSDT,8462,8488,8083.01,8330,31130.71891,257056552.4,300842
1.52652E+12,5/17/2018,BTCUSDT,8330,8464,7979,8041.46,25439.8448,209489039.3,310780
1.5266E+12,5/18/2018,BTCUSDT,8038.82,8273.21,7911.9,8239.81,23476.15825,189870380.9,183913
1.52669E+12,5/19/2018,BTCUSDT,8238.01,8390.8,8095.73,8233.49,17193.42428,141878775.4,134185
1.52677E+12,5/20/2018,BTCUSDT,8233.49,8609,8163.9,8526.98,19957.05711,167440553.7,161265
1.52686E+12,5/21/2018,BTCUSDT,8526.97,8595.31,8305,8381.24,21516.59649,181750674.8,184158
1.52695E+12,5/22/2018,BTCUSDT,8386.89,8400.18,7935.11,7977.11,23710.90286,194335432.4,192154
1.52703E+12,5/23/2018,BTCUSDT,7977.12,8031.9,7425,7501.95,42910.66677,331238049.6,306812
1.52712E+12,5/24/2018,BTCUSDT,7501.95,7730.73,7266.99,7575.01,37845.4466,284286378.5,253694
1.52721E+12,5/25/2018,BTCUSDT,7578.99,7649.55,7308.15,7457,26739.95664,199749586,239025
1.52729E+12,5/26/2018,BTCUSDT,7456.99,7620,7300,7333.96,19464.08607,145636226.5,212344
1.52738E+12,5/27/2018,BTCUSDT,7334,7400,7231.11,7338.99,18706.94552,136710618.5,198341
1.52747E+12,5/28/2018,BTCUSDT,7338.99,7437,7058.02,7099,27219.43896,196788994.3,233392
1.52755E+12,5/29/2018,BTCUSDT,7099,7540,7032.95,7461.29,39407.21183,288070643.9,237359
1.52764E+12,5/30/2018,BTCUSDT,7467.98,7569,7260.5,7375.96,32041.58362,237956894,242079
1.52772E+12,5/31/2018,BTCUSDT,7382.07,7699,7327.51,7485.01,30776.0631,231017579.8,274399
1.52781E+12,6/1/2018,BTCUSDT,7485.01,7608.55,7355.54,7521.01,28259.12408,211458512.1,303069
