,,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,label
,,$realized_vol_6,$relative_volatility_index,$momentum_5,$momentum_10,$momentum_25,$high_vol_flag,vol_raw,vol_raw_decile,vol_risk,vol_scaled,vol_raw_momentum,vol_momentum_scaled,OPEN1,RSV1,RSV2,RSV3,LABEL0
datetime,instrument,,,,,,,,,,,,,,,,,
2018-08-02,BTCUSDT,0.021635229,0.60914814,-0.085024536,-0.025294602,0.12121534,0.0,0.021635229,0.0052469135,0.0004680831,0.25954103,-0.0075406516,-15.081304,1.027899,0.2758328,0.29909363,0.12761328,-0.055122256
2018-08-03,BTCUSDT,0.01969327,0.5575539,-0.09648281,-0.11652166,0.11357641,0.0,0.01969327,0.0033950617,0.00038782487,0.19719687,-0.0019419582,-3.8839164,1.024438,0.52935165,0.31928208,0.29159856,0.0020471811
2018-08-04,BTCUSDT,0.02347736,0.5963363,-0.14241391,-0.1425944,0.11321902,0.0,0.02347736,0.0070987656,0.0005511865,0.3186804,0.0037840914,7.568183,1.0735923,0.14739515,0.13654697,0.10701229,-0.0127232075
2018-08-05,BTCUSDT,0.024814777,0.5952727,-0.09141725,-0.11310732,0.10130334,0.0,0.024814777,0.008333334,0.0006157732,0.3616165,0.0013374162,2.6748326,1.0552491,0.6835911,0.23166575,0.21574844,-0.030968308
2018-08-06,BTCUSDT,0.019998439,0.7010048,-0.08807325,-0.15310979,0.10947001,0.0,0.019998439,0.004012346,0.00039993756,0.20699394,-0.004816339,-9.632677,1.0108179,0.33575168,0.33575168,0.16891974,-0.06474048
2018-08-07,BTCUSDT,0.020677168,0.69298005,-0.10705298,-0.18297541,0.08133948,0.0,0.020677168,0.0052469135,0.00042754525,0.19147043,0.0006787288,1.3574575,1.045257,0.104191944,0.10216338,0.10216338,0.038948298
2018-08-08,BTCUSDT,0.027009744,0.8279253,-0.15282565,-0.23456341,0.0052798986,0.0,0.027009744,0.011728395,0.0007295263,0.29168132,0.0063325767,12.6651535,1.1034209,0.27065858,0.15767038,0.15621987,-0.059080064
2018-08-09,BTCUSDT,0.038979497,1.0718441,-0.06848228,-0.20114338,0.02782619,0.0,0.038979497,0.03117284,0.0015194011,0.7709565,0.011969752,23.939505,1.0292261,0.79059446,0.67963713,0.39591813,0.014378309
