Price,Close,High,Low,Open,Volume
Ticker,USDT-BTC,USDT-BTC,USDT-BTC,USDT-BTC,USDT-BTC
Datetime,,,,,
2025-09-06 12:00:00+00:00,9.021364348882344e-06,9.02907777344808e-06,9.017111551656853e-06,9.02569172467338e-06,0
2025-09-06 13:00:00+00:00,9.018921446113382e-06,9.02190095075639e-06,9.01565817912342e-06,9.019934623211157e-06,0
2025-09-06 14:00:00+00:00,9.02363990462618e-06,9.025055078382138e-06,9.008454981085379e-06,9.013394446810707e-06,0
2025-09-06 15:00:00+00:00,9.051713277585804e-06,9.057044735527597e-06,9.021738151204772e-06,9.02369174582418e-06,0
2025-09-06 16:00:00+00:00,9.06939931155648e-06,9.083913937502075e-06,9.058289833774325e-06,9.058289833774325e-06,4771
2025-09-06 17:00:00+00:00,9.078910807147622e-06,9.0896210167557e-06,9.067486644198652e-06,9.067486644198652e-06,0
2025-09-06 18:00:00+00:00,9.070699888980016e-06,9.083270924747922e-06,9.068079634744208e-06,9.0782841652981e-06,0
2025-09-06 19:00:00+00:00,9.08800484467065e-06,9.089457307709381e-06,9.06941386347171e-06,9.071703971130773e-06,0
2025-09-06 20:00:00+00:00,9.07983849174343e-06,9.087227226700634e-06,9.07748835743405e-06,9.087118996831123e-06,0
2025-09-06 21:00:00+00:00,9.07490357349161e-06,9.080140443984419e-06,9.0728462964762e-06,9.077377399080433e-06,0
2025-09-06 22:00:00+00:00,9.078664334083442e-06,9.081148164113984e-06,9.071954991668463e-06,9.073471119336318e-06,0
2025-09-06 23:00:00+00:00,9.073664841707796e-06,9.080431482288986e-06,9.06823970581172e-06,9.076228707272094e-06,0
2025-09-07 00:00:00+00:00,9.061574928637128e-06,9.07407229533419e-06,9.061138371180277e-06,9.07150206330698e-06,583
2025-09-07 01:00:00+00:00,9.04692478798097e-06,9.063507604878396e-06,9.042435522133019e-06,9.061042874236591e-06,5681
2025-09-07 02:00:00+00:00,9.036481969815213e-06,9.053014764504042e-06,9.03472573554609e-06,9.045241313287988e-06,1404
2025-09-07 03:00:00+00:00,9.039043106895406e-06,9.04108219401678e-06,9.030261935549788e-06,9.036414667207282e-06,8
2025-09-07 04:00:00+00:00,9.045147635333706e-06,9.049852451425977e-06,9.0379626271897e-06,9.039430551638361e-06,0
2025-09-07 05:00:00+00:00,9.037129530042876e-06,9.04537591850385e-06,9.0334488049848e-06,9.045114893524442e-06,0
2025-09-07 06:00:00+00:00,9.048849278769922e-06,9.049424988916144e-06,9.037304153025616e-06,9.037304153025616e-06,4382
2025-09-07 07:00:00+00:00,9.032380148710217e-06,9.051292181538884e-06,9.018378477776423e-06,9.050225344253704e-06,9612
2025-09-07 08:00:00+00:00,9.006087566376664e-06,9.030764886119869e-06,8.987151886685751e-06,9.030346518557053e-06,19691
2025-09-07 09:00:00+00:00,9.002323167806026e-06,9.01526345842285e-06,8.98975213203812e-06,9.004288585856557e-06,4747
2025-09-07 10:00:00+00:00,8.996033102448564e-06,9.005371794046368e-06,8.99452788871713e-06,8.999809324450325e-06,485
2025-09-07 11:00:00+00:00,8.987439287011512e-06,8.993319170258474e-06,8.985736712929793e-06,8.988663466880098e-06,2837
